Atlético Clube Goianiense;Atlético-GO;BRA
Cristóvão Borges;BRA;
#EC1B24;#000000;389
Jean;G;BRA
Mauricio Kozlinski;G;BRA
Lucas;G;BRA
Oliveira;D;BRA
Gilvan;D;BRA
Éder;D;BRA
Nicolas;D;BRA
Moraes;D;BRA
Reginaldo;D;BRA
Dudu;D;BRA
Michel Custódio;D;BRA
Édson;M;BRA
Moacir;M;BRA
Caio;M;BRA
Marlon Freitas;M;BRA
Jorginho;M;BRA
Matheuzinho;M;BRA
Matheus Vargas;M;BRA
Henry Vaca;M;BOL
Cristhyan;M;BRA
Júlio César;F;BRA
Gustavo Ferrareis;F;BRA
Hyuri;F;BRA
Renato Kayzer;F;BRA
Junior Brandão;F;BRA
Edson Júnior;F;BRA
