Ceará Sporting Club;Ceará;BRA
Guto Ferreira;BRA;
#000000;#FFFFFF;463
Richard;G;BRA
Diogo Silva;G;BRA
Fernando Prass;G;BRA
Luiz Otávio;D;BRA
Klaus;D;BRA
Tiago Pagnussat;D;BRA
Eduardo Brock;D;BRA
Bruno Pacheco;D;BRA
Alyson;D;BRA
Samuel Xavier;D;BRA
Eduardo;D;BRA
Charles;M;BRA
Fabinho;M;BRA
Fernando Sobral;M;BRA
Vinicius;M;BRA
Ricardinho;M;BRA
Felipe;M;BRA
Wescley;M;BRA
Rogério;F;BRA
Mateus Gonçalves;F;BRA
Leandro Carvalho;F;BRA
Juninho Quixadá;F;BRA
Rodrigão;F;BRA
Rafael Sóbis;F;BRA
Bérgson;F;BRA
Rick;F;BRA
