Associação Chapecoense de Futebol;Chapecoense;BRA
Umberto Louzer;BRA;
#149221;#FFFFFF;377
João Ricardo;G;BRA
Elias;G;BRA
Tiepo;G;BRA
Kadu;D;BRA
Roberto;D;BRA
Joilson;D;BRA
Ezequiel;D;BRA
Matheus Ribeiro;D;BRA
Marcos Vinicius;D;BRA
Hiago;D;BRA
Derlan;D;BRA
Alan Ruschel;M;BRA
Tharlis;M;BRA
Alan Santos;M;BRA
Anderson Leite;M;BRA
Renato Silva;M;BRA
Yann Rolim;M;BRA
Guedes;M;BRA
Vinícius Locatelli;M;BRA
Ronei;M;BRA
Rone;F;BRA
Ari;F;BRA
Vinicius Foguinho;F;BRA
Anselmo Ramon;F;BRA
Paulinho;F;BRA
Aylon;F;BRA
