Coritiba Foot Ball Club;Coritiba;BRA
Eduardo Barroca;BRA;
#00544C;#FFFFFF;411
Alex Muralha;G;BRA
Wilson;G;BRA
Rhodolfo;D;BRA
Rafael Lima;D;BRA
Sabino;D;BRA
Rodolfo;D;BRA
Nathan Silva;D;BRA
William Matheus;D;BRA
Kazu;D;BRA
Yan Couto;D;BRA
Patrick;D;BRA
Lucas Ramon;D;BRA
Matheus Sales;M;BRA
Matheus Galdezani;M;BRA
Renê Júnior;M;BRA
Thiago Lopes;M;BRA
Gabriel;M;BRA
Ruy;M;BRA
Giovanni Augusto;M;BRA
Matheus Bueno;M;BRA
Rafinha;F;BRA
Igor Jesus;F;BRA
Robson;F;BRA
Sassá;F;BRA
Wanderley;F;BRA
Wellisol;F;BRA
