Fluminense Football Club;Fluminense;BRA
Odair Hellmann;BRA;
#870A28;#00613C;509
Muriel;G;BRA
Marcelo;G;BRA
Marcos Felipe;G;BRA
Nino;D;BRA
Digão;D;BRA
Matheus Ferraz;D;BRA
Luccas Claro;D;BRA
Frazan;D;BRA
Egídio;D;BRA
Orinho;D;BRA
Gilberto;D;BRA
Igor Julião;D;BRA
Henrique;M;BRA
Húdson;M;BRA
Yuri;M;BRA
Dodi;M;BRA
Miguel Silveira;M;BRA
Ganso;M;BRA
Yago Felipe;M;BRA
Nenê;M;BRA
Wellington Silva;F;BRA
Fernando Pacheco;F;PER
Matheus Alessandro;F;BRA
Marcos Paulo;F;BRA
Evanilson;F;BRA
Felippe Cardoso;F;BRA
