Grêmio Foot-Ball Porto Alegrense;Grêmio;BRA
Renato Gaúcho;BRA;
#0D80BF;#1F1A17;656
Paulo Victor;G;BRA
Júlio César;G;BRA
Vanderlei;G;BRA
Wálter Kannemann;D;ARG
Pedro Geromel;D;BRA
David Braz;D;BRA
Marcelo Oliveira;D;BRA
Paulo Miranda;D;BRA
Rodrigues;D;BRA
Bruno Cortez;D;BRA
Caio Henrique;D;BRA
Victor Ferraz;D;BRA
Luis Manuel Orejuela;D;COL
Lucas Silva;M;BRA
Matheus Henrique;M;BRA
Maicon;M;BRA
Thaciano;M;BRA
Jean Pyerre;M;BRA
Thiago Neves;M;BRA
Patrick;M;BRA
Éverton;F;BRA
Pepê;F;BRA
Alisson;F;BRA
Luciano;F;BRA
André;F;BRA
Diego Souza;F;BRA
