Sociedade Esportiva Palmeiras;Palmeiras;BRA
Vanderlei Luxemburgo;BRA;
#006337;#FFFFFF;679
Wéverton;G;BRA
Jaílson;G;BRA
Vinicius Silvestre;G;BRA
Vitor Hugo;D;BRA
Gustavo Gómez;D;PAR
Luan;D;BRA
Emerson Santos;D;BRA
Diogo Barbosa;D;BRA
Matías Viña;D;URU
Victor Luis;D;BRA
Marcos Rocha;D;BRA
Mayke;D;BRA
Gabriel Menino;M;BRA
Felipe Melo;M;BRA
Ramires;M;BRA
Bruno Henrique;M;BRA
Zé Rafael;M;BRA
Gustavo Scarpa;M;BRA
Lucas Lima;M;BRA
Raphael Veiga;M;BRA
Rony;F;BRA
Wesley;F;BRA
Gabriel Veron;F;BRA
Dudu;F;BRA
Luiz Adriano;F;BRA
Willian;F;BRA
