Red Bull Bragantino;RB Bragantino;BRA
Felipe Conceição;BRA;
#FFFFFF;#000000;430
Cleiton;G;BRA
Júlio César;G;BRA
Alex Alves;G;BRA
Fabrício Bruno;D;BRA
Léo Ortiz;D;BRA
Leonardo Realpe;D;ECU
Ligger;D;BRA
Luan Cândido;D;BRA
Edimar;D;BRA
Aderlan;D;BRA
Pedrinho;D;BRA
Weverton;D;BRA
Uillian Correia;M;BRA
Barreto;M;BRA
Matheus Jesus;M;BRA
Ricardo Ryller;M;BRA
Thonny Anderson;M;BRA
Bruno Tubarão;M;BRA
Vitinho;M;BRA
Arthur;F;BRA
Claudinho;F;BRA
Leandrinho;F;BRA
Morato;F;BRA
Ytalo;F;BRA
Alerrandro;F;BRA
Matheus Peixoto;F;BRA
