Clube de Regatas do Flamengo;Flamengo;BRA
Jorge Jesus;POR;
#C2271D;#000000;737
Diego Alves;G;BRA
César;G;BRA
Hugo Souza;G;BRA
Rodrigo Caio;D;BRA
Léo Pereira;D;BRA
Gustavo Henrique;D;BRA
Thuler;D;BRA
Filipe Luís;D;BRA
Rafinha;D;BRA
Renê;D;BRA
João Lucas;D;BRA
Thiago Maia;M;BRA
Piris da Motta;M;PAR
Gerson;M;BRA
Willian Arão;M;BRA
Éverton Ribeiro;M;BRA
Giorgian de Arrascaeta;M;URU
Diego;M;BRA
Bruno Henrique;F;BRA
Vitinho;F;BRA
Michael;F;BRA
Pedro Rocha;F;BRA
Orlando Berrío;F;COL
Gabriel Barbosa;F;BRA
Pedro;F;BRA
Lincoln;F;BRA
