Santos Futebol Clube;Santos;BRA
Jesualdo Ferreira;POR;
#000000;#FFFFFF;610
Éverson;G;BRA
Vladimir;G;BRA
João Paulo;G;BRA
Lucas Veríssimo;D;BRA
Luan Peres;D;BRA
Luiz Felipe;D;BRA
Felipe Jonatan;D;BRA
Madson;D;BRA
Pará;D;BRA
Diego Pituca;M;BRA
Alison;M;BRA
Jobson;M;BRA
Jean Mota;M;BRA
Sandry;M;BRA
Carlos Sánchez;M;URU
Evandro;M;BRA
Tailson;M;BRA
Yeferson Soteldo;F;VEN
Arthur Gomes;F;BRA
Eduardo Sasha;F;BRA
Marinho;F;BRA
Lucas Venuto;F;BRA
Kaio Jorge;F;BRA
Raniel;F;BRA
Yuri Alberto;F;BRA
Fernando Uribe;F;COL
