São Paulo Futebol Clube;São Paulo;BRA
Fernando Diniz;BRA;
#FE0000;#000000;581
Tiago Volpi;G;BRA
Lucas Perri;G;BRA
Thiago Couto;G;BRA
Robert Arboleda;D;ECU
Bruno Alves;D;BRA
Walce;D;BRA
Anderson Martins;D;BRA
Reinaldo;D;BRA
Léo;D;BRA
Juanfran;D;SPA
Daniel Alves;D;BRA
Igor Vinícius;D;BRA
Luan;M;BRA
Tchê Tchê;M;BRA
Liziero;M;BRA
Vitor Bueno;M;BRA
Igor Gomes;M;BRA
Hernanes;M;BRA
Lucas Lima;M;BRA
Jonas Toró;F;BRA
Éverton;F;BRA
Marquinhos Calazans;F;BRA
Antony;F;BRA
Helinho;F;BRA
Alexandre Pato;F;BRA
Pablo;F;BRA
