Sport Club Internacional;Internacional;BRA
Eduardo Coudet;ARG;
#E4040E;#FFFFFF;559
Marcelo Lomba;G;BRA
Danilo Fernandes;G;BRA
Daniel;G;BRA
Víctor Cuesta;D;ARG
Bruno Fuchs;D;BRA
Rodrigo Moledo;D;BRA
Natanael;D;BRA
Uendel;D;BRA
Moisés;D;BRA
Renzo Saravia;D;ARG
Heitor;D;BRA
Rodinei;D;BRA
Rodrigo Dourado;M;BRA
Rodrigo Lindoso;M;BRA
Patrick;M;BRA
Edenilson;M;BRA
Nonato;M;BRA
Gabriel Boschilia;M;BRA
Thiago Galhardo;M;BRA
Martín Sarrafiore;M;ARG
Andrés D'Alessandro;M;ARG
Marcos Guilherme;F;BRA
William Pottker;F;BRA
Paolo Guerrero;F;PER
Gustavo;F;BRA
João Peglow;F;BRA
