Club Athletico Paranaense;Athletico-PR;BRA
Dorival Júnior;BRA;
#C8102E;#2C2825;561
Santos;G;BRA
Jandrei;G;BRA
Léo Vieira;G;BRA
Lucas Halter;D;BRA
Felipe Aguilar;D;COL
Thiago Heleno;D;BRA
Robson Bambu;D;BRA
Zé Ivaldo;D;BRA
Abner;D;BRA
Márcio Azevedo;D;BRA
Adriano;D;BRA
Jonathan;D;BRA
Wellington;M;BRA
Léo Cittadini;M;BRA
Erick;M;BRA
Lucho González;M;ARG
Christian;M;BRA
Vitinho;M;BRA
Nikão;M;BRA
Fernando Canesin;M;BRA
Juan Manuel Boselli;M;URU
Marquinhos Gabriel;F;BRA
Pedrinho;F;BRA
Jajá;F;BRA
Carlos Eduardo;F;BRA
Guilherme Bissoli;F;BRA
