Botafogo de Futebol e Regatas;Botafogo;BRA
Paulo Autuori;BRA;
#000000;#FFFFFF;405
Gatito Fernández;G;PAR
Diego Cavalieri;G;BRA
Saulo;G;BRA
Joel Carli;D;ARG
Marcelo Benevenuto;D;BRA
Kanu;D;BRA
Ruan Renato;D;BRA
Danilo Barcelos;D;BRA
Guilherme Santos;D;BRA
Marcinho;D;BRA
Fernando Costanza;D;BRA
Federico Barrandeguy;D;URU
Alex Santana;M;BRA
Caio Alexandre;M;BRA
Luiz Otavio;M;BRA
Cícero;M;BRA
Gustavo Bochecha;M;BRA
Luiz Fernando;M;BRA
Keisuke Honda;M;JAP
Rafael Navarro;M;BRA
Gabriel Cortez;M;ECU
Leandrinho;M;BRA
Bruno Nazário;F;BRA
Luis Henrique;F;BRA
Pedro Raul;F;BRA
Igor Cássio;F;BRA
