Centro Sportivo Alagoano;CSA;BRA
Eduardo Baptista;BRA;
#FFFFFF;#103B7F;381
Thiago Rodrigues;G;BRA
Bruno Grassi;G;BRA
Caíque;G;BRA
Leandro Souza;D;BRA
Willian Rocha;D;BRA
Diego Renan;D;BRA
Geovane;D;BRA
Alan Costa;D;BRA
Luciano Castan;D;BRA
Norberto Neto;D;BRA
Lucas Dias;D;BRA
Rafinha;M;BRA
Márcio Araújo;M;BRA
Jean Cleber;M;BRA
Renatinho;M;BRA
Yago;M;BRA
Richard Franco;M;PAR
Andrigo;M;BRA
Rafael Bilu;F;BRA
Rodrigo Pimpão;F;BRA
Diego Maurício;F;BRA
Allano;F;BRA
Alecsandro;F;BRA
Gustavo Schutz;F;BRA
Bruno José;F;BRA
Michel Douglas;F;BRA
