Fortaleza Esporte Clube;Fortaleza;BRA
Rogério Ceni;BRA;
#2A1869;#DE421A;450
Felipe Alves;G;BRA
Marcelo Boeck;G;BRA
Max Walef;G;BRA
Juan Quintero;D;COL
Jackson;D;BRA
Paulão;D;BRA
Roger Carvalho;D;BRA
Joao Paulo;D;BRA
Carlinhos;D;BRA
Bruno Melo;D;BRA
Tinga;D;BRA
Michel;M;BRA
Felipe;M;BRA
Gabriel Dias;M;BRA
Derley;M;BRA
Juninho;M;BRA
Nenê Bonilha;M;BRA
Mariano Vázquez;M;ARG
Marlon;M;BRA
David;F;BRA
Madson;F;BRA
Romarinho;F;BRA
Osvaldo;F;BRA
Éderson;F;BRA
Wellington Paulista;F;BRA
Edson Cariús;F;BRA
