Goiás Esporte Clube;Goiás;BRA
Ney Franco;BRA;
#0E5823;#FFFFFF;425
Tadeu;G;BRA
Marcelo Rangel;G;BRA
Matheus Alves;G;BRA
Luiz Gustavo;D;BRA
David Duarte;D;BRA
Lucão;D;BRA
Fábio Sanches;D;BRA
Rafael Vaz;D;BRA
Caju;D;BRA
Jefferson;D;BRA
Vidal;D;BRA
Yago Rocha;D;BRA
Juan Pintado;D;URU
Sandro;M;BRA
Gilberto;M;BRA
Daniel Bessa;M;BRA
Léo Sena;M;BRA
Ratinho;M;BRA
Thalles;M;BRA
Daniel Villalva;F;ARG
Victor Andrade;F;BRA
Marcinho;F;BRA
Mike;F;BRA
Henrique Almeida;F;BRA
Rafael Moura;F;BRA
Lucão;F;BRA
