Sport Club do Recife;Sport;BRA
Daniel Paulista;BRA;
#D10119;#000000;400
Luan Polli;G;BRA
Mailson;G;BRA
Carlos Eduardo;G;BRA
Iago Maidana;D;BRA
Adryelson;D;BRA
Rafael Thyere;D;BRA
Cleberson;D;BRA
Chico;D;BRA
Sander;D;BRA
Luciano;D;BRA
Raul Prata;D;BRA
Ewerthon;D;BRA
Rithely;M;BRA
Willian Farias;M;BRA
Ronaldo;M;BRA
Alê Santos;M;BRA
João Igor;M;BRA
Lucas Mugni;M;ARG
Pablo Pardal;M;BRA
Marquinhos;F;BRA
Leandro Barcia;F;URU
Ewandro Costa;F;BRA
Yan;F;BRA
Hernane;F;BRA
Élton;F;BRA
Pedro Maranhão;F;BRA
