Aston Villa Football Club;Aston Villa;ENG
Dean Smith;ENG;
#7C023C;#A3C2E9;596
Örjan Nyland;G;NOR
Jed Steer;G;ENG
Tom Heaton;G;ENG
Pepe Reina;G;ESP
Neil Taylor;D;WAL
Ezri Konsa;D;ENG
Matt Targett;D;ENG
Björn Engels;D;BEL
Frédéric Guilbert;D;FRA
Ahmed Elmohamady;D;EGY
Kortney Hause;D;ENG
Tyrone Mings;D;ENG
Danny Drinkwater;M;ENG
Douglas Luiz;M;BRA
John McGinn;M;SCO
Henri Lansbury;M;ENG
Jack Grealish;M;ENG
Marvelous Nakamba;M;ZIM
Conor Hourihane;M;IRL
Anwar El Ghazi;F;NED
Jota;F;ESP
Trezeguet;F;EGY
Wesley;F;BRA
Keinan Davis;F;ENG
Borja Bastón;F;ESP
Mbwana Samatta;F;TAN
