Athletic Football Club Bournemouth;Bournemouth;ENG
Eddie Howe;ENG;
#CE1419;#000000;641
Artur Boruc;G;POL
Aaron Ramsdale;G;ENG
Mark Travers;G;IRL
Simon Francis;D;ENG
Steve Cook;D;ENG
Nathan Aké;D;NED
Charlie Daniels;D;ENG
Adam Smith;D;ENG
Jack Stacey;D;ENG
Diego Rico;D;ESP
Jack Simpson;D;ENG
Chris Mepham;D;WAL
Dan Gosling;M;ENG
Andrew Surman;M;ENG
Jefferson Lerma;M;COL
Lewis Cook;M;ENG
Philip Billing;M;DEN
Jordon Ibe;F;ENG
Junior Stanislas;F;ENG
Harry Wilson;F;WAL
Ryan Fraser;F;SCO
Joshua King;F;NOR
Dominic Solanke;F;ENG
Callum Wilson;F;ENG
Arnaut Danjuma;F;NED
Sam Surridge;F;ENG
