Brighton & Hove Albion Football Club;Brighton;ENG
Graham Potter;ENG;
#005DAA;#FFFFFF;706
Mathew Ryan;G;AUS
Jason Steele;G;ENG
David Button;G;ENG
Tariq Lamptey;D;ENG
Shane Duffy;D;IRL
Lewis Dunk;D;ENG
Adam Webster;D;ENG
Ezequiel Schelotto;D;ITA
Martín Montoya;D;ESP
Bernardo;D;BRA
Dan Burn;D;ENG
Dale Stephens;M;ENG
Yves Bissouma;M;MLI
Alexis Mac Allister;M;ARG
Pascal Groß;M;GER
Aaron Mooy;M;AUS
Solly March;M;ENG
Davy Pröpper;M;NED
Steven Alzate;M;COL
Neal Maupay;F;FRA
Leandro Trossard;F;BEL
Alireza Jahanbakhsh;F;IRN
Glenn Murray;F;ENG
José Izquierdo;F;COL
Aaron Connolly;F;IRL
