Crystal Palace Football Club;Crystal Palace;ENG
Roy Hodgson;ENG;
#1B458F;#C4112E;703
Wayne Hennessey;G;WAL
Stephen Henderson;G;IRL
Vicente Guaita;G;ESP
Joel Ward;D;ENG
Patrick van Aanholt;D;NED
James Tomkins;D;ENG
Scott Dann;D;ENG
Mamadou Sakho;D;FRA
Gary Cahill;D;ENG
Martin Kelly;D;ENG
Jairo Riedewald;D;NED
Jeffrey Schlupp;M;GHA
Luka Milivojevic;M;SRB
Max Meyer;M;GER
Cheikhou Kouyaté;M;SEN
James McArthur;M;SCO
James McCarthy;M;IRL
Andros Townsend;F;ENG
Jordan Ayew;F;GHA
Wilfried Zaha;F;CIV
Christian Benteke;F;BEL
