Everton Football Club;Everton;ENG
Carlo Ancelotti;ITA;
#274488;#FFFFFF;777
Jordan Pickford;G;ENG
Maarten Stekelenburg;G;NED
João Virginia;G;POR
Mason Holgate;D;ENG
Leighton Baines;D;ENG
Michael Keane;D;ENG
Lucas Digne;D;FRA
Yerry Mina;D;COL
Djibril Sidibé;D;FRA
Seamus Coleman;D;IRL
Fabian Delph;M;ENG
Gylfi Sigurdsson;M;ISL
Morgan Schneiderlin;M;FRA
André Gomes;M;POR
Jean-Philippe Gbamin;M;IRL
Tom Davies;M;ENG
Beni Baningime;M;COD
Bernard;F;BRA
Alex Iwobi;F;NGA
Richarlison;F;BRA
Dominic Calvert-Lewin;F;ENG
Theo Walcott;F;ENG
Moise Kean;F;ITA
Oumar Niasse;F;SEN
Cenk Tosun;F;TUR
