Leicester City Football Club;Leicester City;ENG
Brendan Rodgers;NIR;
#003F8C;#FFFFFF;816
Kasper Schmeichel;G;DEN
Danny Ward;G;WAL
Eldin Jakupovic;G;SUI
James Justin;D;ENG
Ben Chilwell;D;ENG
Caglar Söyüncü;D;TUR
Wes Morgan;D;JAM
Jonny Evans;D;NIR
Ricardo Pereira;D;POR
Christian Fuchs;D;AUS
Ryan Bennett;D;ENG
Youri Tielemans;M;BEL
James Maddison;M;ENG
Marc Albrighton;M;ENG
Harvey Barnes;M;ENG
Hamza Choudhury;M;ENG
Matty James;M;ENG
Nampalys Mendy;M;FRA
Wilfred Ndidi;M;NGA
Dennis Praet;M;BEL
Demarai Gray;F;ENG
Jamie Vardy;F;ENG
Kelechi Iheanacho;F;NGA
Ayoze Pérez;F;ESP
