Liverpool Football Club;Liverpool;ENG
Jurgen Klopp;GER;
#D00027;#FFFFFF;919
Alisson;G;BRA
Adrián;G;ESP
Andy Lonergan;G;ENG
Caoimhin Kelleher;G;IRL
Virgil van Dijk;D;NED
Dejan Lovren;D;CRO
Joe Gomez;D;ENG
Andrew Robertson;D;SCO
Joel Matip;D;CMR
Trent Alexander-Arnold;D;ENG
Nathaniel Clyne;D;ENG
Fabinho;M;BRA
Georginio Wijnaldum;M;NED
James Milner;M;ENG
Naby Keïta;M;GUI
Jordan Henderson;M;ENG
Alex Oxlade-Chamberlain;M;ENG
Adam Lallana;M;ENG
Curtis Jones;M;ENG
Roberto Firmino;F;BRA
Sadio Mané;F;SEN
Xherdan Shaqiri;F;SUI
Mohamed Salah;F;EGY
Takumi Minamino;F;JPN
Divock Origi;F;BEL
