Manchester City Football Club;Manchester City;ENG
Pep Guardiola;ESP;
#85BEEC;#FFFFFF;948
Claudio Bravo;G;CHI
Ederson Moraes;G;BRA
Scott Carson;G;ENG
Kyle Walker;D;ENG
John Stones;D;ENG
Oleksandr Zinchenko;D;UKR
Aymeric Laporte;D;ESP
Benjamin Mendy;D;FRA
João Cancelo;D;POR
Nicolás Otamendi;D;ARG
Eric García;D;ESP
Ilkay Gündo?an;M;GER
Rodri Hernández;M;ESP
Kevin De Bruyne;M;BEL
David Silva;M;ESP
Fernandinho;M;BRA
Phil Foden;M;ENG
Bernardo Silva;F;POR
Raheem Sterling;F;ENG
Gabriel Jesus;F;BRA
Sergio Agüero;F;ARG
Leroy Sané;F;GER
Riyad Mahrez;F;ALG
