Manchester United Football Club;Manchester United;ENG
Ole Gunnar Solskjaer;NOR;
#DA020E;#FFFFFF;862
David de Gea;G;ESP
Lee Grant;G;ENG
Sergio Romero;G;ARG
Victor Lindelöf;D;SWE
Eric Bailly;D;CIV
Phil Jones;D;ENG
Harry Maguire;D;ENG
Diogo Dalot;D;POR
Luke Shaw;D;ENG
Aaron Wan-Bissaka;D;ENG
Axel Tuanzebe;D;ENG
Brandon Williams;D;ENG
Paul Pogba;M;FRA
Juan Mata;M;ESP
Andreas Pereira;M;BRA
Fred;M;BRA
Bruno Fernandes;M;POR
Nemanja Mati?;M;SRB
Scott McTominay;M;SCO
Jesse Lingard;F;ENG
Daniel James;F;WAL
Anthony Martial;F;FRA
Marcus Rashford;F;ENG
Odion Ighalo;F;NGA
Mason Greenwood;F;ENG
Tahith Chong;F;NED
