Newcastle United Football Club;Newcastle;ENG
Steve Bruce;ENG;
#272425;#FFFFFF;627
Martin Dubravka;G;SVK
Rob Elliot;G;IRL
Karl Darlow;G;ENG
Ciaran Clark;D;IRL
Fabian Schär;D;SUI
Jamaal Lascelles;D;ENG
Jetro Willems;D;NED
Emil Krafth;D;SWE
Federico Fernández;D;ARG
Javier Manquillo;D;ESP
Florian Lejeune;D;FRA
DeAndre Yedlin;D;USA
Danny Rose;D;ENG
Jonjo Shelvey;M;ENG
Matt Ritchie;M;SCO
Isaac Hayden;M;ENG
Valentino Lazaro;M;AUT
Miguel Almirón;M;PAR
Sean Longstaff;M;ENG
Nabil Bentaleb;M;ALG
Allan Saint-Maximin;F;FRA
Christian Atsu;F;GHA
Andy Carroll;F;ENG
Joelinton;F;BRA
Dwight Gayle;F;ENG
Yoshinori Muto;F;JPN
