Sheffield United Football Club;Sheffield United;ENG
Chris Wilder;ENG;
#EE2227;#FFFFFF;733
Dean Henderson;G;ENG
Michael Verrips;G;NED
Simon Moore;G;ENG
George Baldock;D;ENG
Enda Stevens;D;IRL
Jack O'Connell;D;ENG
Chris Basham;D;ENG
John Egan;D;IRL
Phil Jagielka;D;ENG
Kieron Freeman;D;WAL
Jack Robinson;D;ENG
Panagiotis Retsos;D;GRE
John Fleck;M;SCO
John Lundstram;M;ENG
Luke Freeman;M;ENG
Oliver Norwood;M;NIR
Ben Osborn;M;ENG
Muhamed Besic;M;BIH
Sander Berge;M;NOR
Jack Rodwell;M;ENG
Oliver McBurnie;F;SCO
Billy Sharp;F;ENG
David McGoldrick;F;IRL
Lys Mousset;F;FRA
Leon Clarke;F;ENG
Richairo Zivkovic;F;NED
