Tottenham Hotspur Football Club;Tottenham;ENG
José Mourinho;POR;
#001C58;#FFFFFF;766
Hugo Lloris;G;FRA
Michel Vorm;G;NED
Paulo Gazzaniga;G;ARG
Alfie Whiteman;G;ENG
Toby Alderweireld;D;BEL
Jan Vertonghen;D;BEL
Davinson Sánchez;D;COL
Juan Foyth;D;ARG
Serge Aurier;D;CIV
Ben Davies;D;WAL
Japhet Tanganga;D;ENG
Harry Winks;M;ENG
Eric Dier;M;ENG
Moussa Sissoko;M;FRA
Giovani Lo Celso;M;ARG
Ryan Sessegnon;M;ENG
Dele Alli;M;ENG
Tanguy Ndombèlé;M;FRA
Oliver Skipp;M;ENG
Gedson Fernandes;M;POR
Erik Lamela;F;ARG
Lucas Moura;F;BRA
Heung-Min Son;F;KOR
Harry Kane;F;ENG
Steven Bergwijn;F;NED
