Watford Football Club;Watford;ENG
Nigel Pearson;ENG;
#FAED23;#000000;728
Heurelho Gomes;G;BRA
Ben Foster;G;ENG
Daryl Janmaat;D;NED
Craig Dawson;D;ENG
Adrian Mariappa;D;JAM
Adam Masina;D;ITA
Craig Cathcart;D;NIR
Kiko Femenía;D;ESP
José Holebas;D;GRE
Christian Kabasele;D;BEL
Tom Cleverley;M;ENG
Nathaniel Chalobah;M;ENG
Abdoulaye Doucouré;M;FRA
Will Hughes;M;ENG
Domingos Quina;M;POR
Étienne Capoue;M;FRA
Roberto Pereyra;M;ARG
Ignacio Pussetto;F;ARG
Gerard Deulofeu;F;ESP
Troy Deeney;F;ENG
Danny Welbeck;F;ENG
João Pedro;F;BRA
Andre Gray;F;ENG
Isaac Success;F;NGA
Ismaïla Sarr;F;SEN
Adalberto Peñaranda;F;VEN
