Wolverhampton Wanderers Football Club;Wolverhampton;ENG
Nuno Espírito Santo;POR;
#FAA61A;#000000;805
Rui Patrício;G;POR
John Ruddy;G;ENG
Andreas Söndergaard;G;DEN
Matt Doherty;D;IRL
Willy Boly;D;FRA
Conor Coady;D;ENG
Jonny Otto;D;ESP
Rúben Vinagre;D;POR
Max Kilman;D;ENG
Bruno Jordão;M;POR
Rúben Neves;M;POR
Morgan Gibbs-White;M;ENG
Romain Saïss;M;MAR
João Moutinho;M;POR
Leander Dendoncker;M;BEL
Daniel Podence;F;POR
Pedro Neto;F;POR
Raúl Jiménez;F;MEX
Diogo Jota;F;POR
Adama Traoré;F;ESP
Leonardo Campana;F;ECU
