Futball-Club Bayern München;Bayern München;GER
Hans-Dieter Flick;GER;
#DC042C;#FFFFFF;944
Manuel Neuer;G;GER
Sven Ulreich;G;GER
Ron-Thorben Hoffmann;G;GER
Álvaro Odriozola;D;ESP
Niklas Süle;D;GER
Benjamin Pavard;D;FRA
Jérôme Boateng;D;GER
Lucas Hernández;D;FRA
David Alaba;D;AUT
Lars Lukas Mai;D;GER
Alphonso Davies;D;CAN
Joshua Kimmich;M;GER
Thiago Alcântara;M;ESP
Javi Martínez;M;ESP
Philippe Coutinho;M;BRA
Michaël Cuisance;M;FRA
Leon Goretzka;M;GER
Corentin Tolisso;M;FRA
Kingsley Coman;F;FRA
Ivan Perisic;F;CRO
Serge Gnabry;F;GER
Robert Lewandowski;F;POL
Fiete Arp;F;GER
Thomas Müller;F;GER
