Ballspiel-Verein Borussia 1909 e. V. Dortmund;Borussia Dortmund;GER
Lucien Favre;SUI;
#FCE100;#221F20;854
Roman Bürki;G;SUI
Luca Unbehaun;G;GER
Marwin Hitz;G;SUI
Eric Oelschlägel;G;GER
Dan-Axel Zagadou;D;FRA
Achraf Hakimi;D;MAR
Mats Hummels;D;GER
Manuel Akanji;D;SUI
Leonardo Balerdi;D;ARG
Mateu Morey;D;ESP
Lukasz Piszczek;D;POL
Marcel Schmelzer;D;GER
Nico Schulz;D;GER
Raphaël Guerreiro;M;POR
Thomas Delaney;M;DEN
Mahmoud Dahoud;M;GER
Emre Can;M;GER
Alex Witsel;M;BEL
Giovanni Reyna;M;USA
Tobias Raschl;M;GER
Julian Brandt;M;GER
Jadon Sancho;F;ENG
Mario Götze;F;GER
Marco Reus;F;GER
Erling Haaland;F;NOR
Thorgan Hazard;F;BEL
