RasenBallsport Leipzig e. V.;RB Leipzig;GER
Julian Nagelsmann;GER;
#FFFFFF;#DE1D4B;881
Péter Gulácsi;G;HUN
Yvon Mvogo;G;SUI
Philipp Tschauner;G;GER
Angeliño;D;ESP
Willi Orban;D;HUN
Dayot Upamecano;D;FRA
Ibrahima Konaté;D;FRA
Lukas Klostermann;D;GER
Nordi Mukiele;D;FRA
Marcel Halstenberg;D;GER
Ethan Ampadu;D;WAL
Amadou Haidara;M;MLI
Tyler Adams;M;USA
Christopher Nkunku;M;FRA
Dani Olmo;M;ESP
Konrad Laimer;M;AUT
Kevin Kampl;M;SVN
Hannes Wolf;M;AUT
Marcel Sabitzer;F;AUT
Emil Forsberg;F;SWE
Yussuf Poulsen;F;DEN
Timo Werner;F;GER
Ademola Lookman;F;ENG
Patrik Schick;F;CZE
