Football Club Internazionale Milano;Inter Milan;ITA
Antonio Conte;ITA;
#201E1E;#0062A8;795
Samir Handanovic;G;SVN
Daniele Padelli;G;ITA
Tommaso Berni;G;ITA
Diego Godín;D;URU
Stefan de Vrij;D;NED
Andrea Ranocchia;D;ITA
Danilo D'Ambrosio;D;ITA
Milan Skriniar;D;SVK
Alessandro Bastoni;D;ITA
Ashley Young;M;ENG
Kwadwo Asamoah;M;GHA
Cristiano Biraghi;M;ITA
Roberto Gagliardini;M;ITA
Matías Vecino;M;URU
Victor Moses;M;NGA
Stefano Sensi;M;ITA
Borja Valero;M;ESP
Nicolò Barella;M;ITA
Christian Eriksen;M;DEN
Lucien Agoume;M;FRA
Marcelo Brozovic;M;CRO
Antonio Candreva;M;ITA
Alexis Sánchez;A;CHI
Romelu Lukaku;A;BEL
Lautaro Martínez;A;ARG
Sebastiano Esposito;A;ITA
