Società Sportiva Calcio Napoli;Napoli;ITA
Gennaro Gattuso;ITA;
#4D9EDB;#FFFFFF;751
Alex Meret;G;ITA
David Ospina;G;COL
Orestis Karnezis;G;GRE
Kévin Malcuit;D;FRA
Mário Rui;D;POR
Sebastiano Luperto;D;ITA
Nikola Maksimovic;D;SRB
Giovanni Di Lorenzo;D;ITA
Elseid Hysaj;D;ALB
Kalidou Koulibaly;D;SEN
Faouzi Ghoulam;D;ALG
Konstantinos Manolas;D;GRE
Diego Demme;M;GER
Allan;M;BRA
Fabián Ruiz;M;ESP
Eljif Elmas;M;MKD
Piotr Zielinski;M;POL
Stanislav Lobotka;M;SVK
José Callejón;F;ESP
Fernando Llorente;F;ESP
Hirving Lozano;F;MEX
Dries Mertens;F;BEL
Matteo Politano;F;ITA
Lorenzo Insigne;F;ITA
Amin Younes;F;GER
Arkadiusz Milik;F;POL
