Real Sociedad de Fútbol;Real Sociedad;ESP
Imanol Alguacil;ESP;
#143B8B;#FFFFFF;770
Alex Remiro;G;ESP
Miguel Ángel Moyà;G;ESP
Joseba Zaldua;D;ESP
Diego Llorente;D;ESP
Aritz Elustondo;D;ESP
Aihen Muñoz;D;ESP
Andoni Gorosabel;D;ESP
Nacho Monreal;D;ESP
Robin Le Normand;D;FRA
Asier Illarramendi;M;ESP
Igor Zubeldia;M;ESP
Mikel Merino;M;ESP
Ander Guevara;M;ESP
David Zurutuza;M;ESP
Martin Ödegaard;M;NOR
Luca Sangalli;M;ESP
Adnan Januzaj;F;BEL
Portu;F;ESP
Willian José;F;BRA
Mikel Oyarzabal;F;ESP
Alexander Isak;F;SWE
Ander Barrenetxea;F;ESP
