Valencia Club de Fútbol;Valencia;ESP
Albert Celades;ESP;
#FFFFFF;#0097D7;695
Jaume Doménech;G;ESP
Jasper Cillessen;G;NED
Thierry Correia;D;POR
Jaume Costa;D;ESP
Eliaquim Mangala;D;FRA
Gabriel Paulista;D;BRA
Mouctar Diakhaby;D;FRA
José Gayà;D;ESP
Cristiano Piccini;D;ITA
Ezequiel Garay;D;ARG
Alessandro Florenzi;D;ITA
Daniel Wass;D;DEN
Geoffrey Kondogbia;M;CTA
Carlos Soler;M;ESP
Dani Parejo;M;ESP
Kang-In Lee;M;KOR
Francis Coquelin;M;FRA
Denis Cheryshev;F;RUS
Gonçalo Guedes;F;POR
Ferran Torres;F;ESP
Kévin Gameiro;F;FRA
Manu Vallejo;F;ESP
Rodrigo;F;ESP
Maxi Gómez;F;URU
Rubén Sobrino;F;ESP
